1,2,3,4,5,6,7,8,9,10,11,12
"양산시",297.6,179.4,170.2,9.1,-,118.2,60.3,57.2,62.9,5.1,-
"의령군",23.4,16.0,15.9,0.2,*,7.4,68.5,67.6,78.1,1.2,*
"함안군",56.4,35.3,34.2,1.0,*,21.1,62.6,60.7,68.1,3.0,*
"창녕군",54.2,35.1,34.7,0.5,*,19.1,64.8,63.9,72.7,1.3,*
"고성군",44.7,30.4,29.2,1.2,*,14.3,68.0,65.3,70.8,3.9,-
"남해군",38.2,25.9,25.3,0.6,*,12.3,67.9,66.2,71.0,2.4,*
"하동군",36.5,26.0,25.7,0.3,*,10.5,71.3,70.4,77.0,1.2,*
"산청군",30.3,22.3,22.0,0.3,*,8.0,73.6,72.6,77.3,1.3,*
"함양군",33.8,23.1,22.9,0.2,*,10.6,68.6,67.8,74.0,1.0,*
"거창군",52.3,36.0,35.1,0.9,*,16.3,68.8,67.1,71.2,2.4,*
"합천군",37.5,25.9,25.4,0.5,*,11.6,69.1,67.8,76.4,1.8,*
"제주시",414.0,271.5,262.9,8.6,-,142.5,65.6,63.5,67.6,3.2,-
"서귀포시",150.0,111.7,109.8,1.9,-,38.3,74.5,73.2,76.3,1.7,-
